Direction,Target,Fwd Lag,N events,Mean fwd ret (bps),t-stat,p-value
UP,ETH,1,2075,-0.8934,-0.9292,0.3529
UP,DOGE,1,2075,-1.2513,-1.1356,0.2562
UP,ETH,2,2075,0.1187,0.1280,0.8982
UP,DOGE,2,2075,-0.6569,-0.5789,0.5627
UP,ETH,3,2075,0.6332,0.7247,0.4687
UP,DOGE,3,2075,1.5082,1.3315,0.1832
DOWN,ETH,1,2072,0.0003,0.0003,0.9998
DOWN,DOGE,1,2072,0.5237,0.3051,0.7603
DOWN,ETH,2,2072,-1.0468,-0.9582,0.3381
DOWN,DOGE,2,2072,-0.9243,-0.6001,0.5485
DOWN,ETH,3,2072,0.6970,0.6802,0.4964
DOWN,DOGE,3,2072,0.8143,0.6479,0.5171
