entry_time,exit_time,direction,entry_z,exit_z,holding_bars,gross_pnl,net_pnl,exit_reason
2025-09-04 18:15:00+00:00,2025-09-05 12:30:00+00:00,short_spread,4.3641,0.1188,73,-58.14,-158.14,mean-reversion
2025-09-08 08:45:00+00:00,2025-09-09 01:30:00+00:00,short_spread,2.4316,-0.0285,67,54.35,-45.65,mean-reversion
2025-09-15 08:15:00+00:00,2025-09-16 16:00:00+00:00,short_spread,3.8662,2.9753,127,-955.63,-1055.63,stop-loss
2025-09-29 11:15:00+00:00,2025-09-29 17:15:00+00:00,short_spread,2.1063,3.0486,24,-607.59,-707.59,stop-loss
2025-10-03 03:15:00+00:00,2025-10-03 09:15:00+00:00,long_spread,-3.545,0.1633,24,541.02,441.02,mean-reversion
2025-10-03 16:15:00+00:00,2025-10-05 02:30:00+00:00,short_spread,4.5186,4.9083,137,-241.96,-341.96,stop-loss
2025-10-09 08:30:00+00:00,2025-10-10 01:00:00+00:00,short_spread,4.5624,-0.1028,66,214.61,114.61,mean-reversion
2025-10-10 15:30:00+00:00,2025-10-10 21:45:00+00:00,short_spread,5.536,-0.8755,25,1346.88,1246.88,mean-reversion
2025-10-12 15:00:00+00:00,2025-10-13 11:30:00+00:00,long_spread,-4.7975,-0.1049,82,-51.74,-151.74,mean-reversion
2025-10-13 17:45:00+00:00,2025-10-14 06:30:00+00:00,long_spread,-3.8348,0.77,51,670.41,570.41,mean-reversion
2025-10-23 14:30:00+00:00,2025-10-24 04:45:00+00:00,short_spread,3.1137,-1.3257,57,541.09,441.09,mean-reversion
2025-10-26 13:15:00+00:00,2025-10-26 22:45:00+00:00,long_spread,-2.975,-2.8679,38,-240.9,-340.9,stop-loss
2025-10-29 16:30:00+00:00,2025-10-30 04:45:00+00:00,long_spread,-3.355,-2.8683,49,-483.02,-583.02,stop-loss
2025-11-02 09:45:00+00:00,2025-11-02 21:45:00+00:00,short_spread,3.8596,-0.2993,48,268.85,168.85,mean-reversion
2025-11-07 18:30:00+00:00,2025-11-08 16:00:00+00:00,long_spread,-3.587,0.5066,86,158.47,58.47,mean-reversion
2025-11-09 14:30:00+00:00,2025-11-10 00:30:00+00:00,long_spread,-3.0662,-0.2756,40,317.28,217.28,mean-reversion
2025-11-11 13:45:00+00:00,2025-11-11 20:45:00+00:00,long_spread,-1.3945,-0.1437,28,182.64,82.64,mean-reversion
2025-11-16 16:45:00+00:00,2025-11-17 02:30:00+00:00,short_spread,3.5285,-0.2136,39,615.13,515.13,mean-reversion
2025-11-18 02:45:00+00:00,2025-11-18 22:15:00+00:00,long_spread,-1.6147,0.2469,78,-330.15,-430.15,mean-reversion
2025-11-19 10:15:00+00:00,2025-11-19 16:15:00+00:00,long_spread,-3.3077,0.9061,24,622.34,522.34,mean-reversion
2025-11-23 04:45:00+00:00,2025-11-23 16:15:00+00:00,short_spread,2.8023,3.159,46,-425.51,-525.51,stop-loss
2025-11-26 18:30:00+00:00,2025-11-28 02:30:00+00:00,short_spread,2.6703,-0.3146,128,-883.74,-983.74,mean-reversion
2025-11-28 09:00:00+00:00,2025-11-28 15:00:00+00:00,long_spread,-3.387,0.2238,24,329.7,229.7,mean-reversion
2025-12-01 02:15:00+00:00,2025-12-01 16:45:00+00:00,long_spread,-3.2497,-0.0135,58,24.68,-75.32,mean-reversion
2025-12-06 22:30:00+00:00,2025-12-07 14:30:00+00:00,long_spread,-2.9123,3.7044,64,543.92,443.92,stop-loss
2025-12-08 16:45:00+00:00,2025-12-09 11:30:00+00:00,long_spread,-2.826,-0.1124,75,178.49,78.49,mean-reversion
2025-12-09 16:45:00+00:00,2025-12-11 01:15:00+00:00,long_spread,-4.8229,-0.1365,130,-789.46,-889.46,mean-reversion
2025-12-11 21:00:00+00:00,2025-12-13 08:30:00+00:00,short_spread,3.8777,-0.1546,142,-211.95,-311.95,mean-reversion
2025-12-14 11:30:00+00:00,2025-12-15 15:00:00+00:00,long_spread,-3.7518,-1.0142,110,-544.18,-644.18,mean-reversion
2025-12-17 15:00:00+00:00,2025-12-18 14:00:00+00:00,short_spread,3.6505,-0.8967,92,218.91,118.91,mean-reversion
2025-12-19 17:45:00+00:00,2025-12-20 05:00:00+00:00,long_spread,-2.5486,0.2068,45,342.98,242.98,mean-reversion
2025-12-22 01:00:00+00:00,2025-12-22 08:00:00+00:00,long_spread,-2.3132,0.0982,28,129.49,29.49,mean-reversion
2025-12-26 02:30:00+00:00,2025-12-26 13:00:00+00:00,short_spread,4.976,0.2483,42,227.72,127.72,mean-reversion
2025-12-30 16:15:00+00:00,2025-12-31 13:30:00+00:00,short_spread,3.0338,0.0339,85,276.5,176.5,mean-reversion
2026-01-01 17:45:00+00:00,2026-01-02 06:45:00+00:00,short_spread,3.2869,0.1016,52,73.91,-26.09,mean-reversion
2026-01-02 15:00:00+00:00,2026-01-03 11:30:00+00:00,long_spread,-4.8621,-0.0643,82,87.89,-12.11,mean-reversion
2026-01-04 00:15:00+00:00,2026-01-04 21:15:00+00:00,short_spread,2.5199,0.2574,84,-114.57,-214.57,mean-reversion
2026-01-05 02:45:00+00:00,2026-01-05 20:45:00+00:00,short_spread,3.0029,0.024,72,-111.28,-211.28,mean-reversion
2026-01-07 17:45:00+00:00,2026-01-08 02:15:00+00:00,short_spread,2.322,-0.1735,34,242.59,142.59,mean-reversion
2026-01-08 15:15:00+00:00,2026-01-09 08:30:00+00:00,short_spread,2.7323,0.1112,69,-33.32,-133.32,mean-reversion
2026-01-11 09:30:00+00:00,2026-01-11 16:45:00+00:00,long_spread,-1.8912,-2.8584,29,-158.14,-258.14,stop-loss
2026-01-13 20:30:00+00:00,2026-01-14 02:30:00+00:00,short_spread,3.5402,-1.4521,24,959.08,859.08,mean-reversion
2026-01-18 18:30:00+00:00,2026-01-19 05:30:00+00:00,long_spread,-2.9059,-0.3297,44,193.13,93.13,mean-reversion
2026-01-20 05:15:00+00:00,2026-01-20 11:15:00+00:00,long_spread,-2.5088,2.155,24,521.56,421.56,mean-reversion
2026-01-20 16:15:00+00:00,2026-01-21 17:00:00+00:00,short_spread,3.1458,0.0713,99,134.47,34.47,mean-reversion
2026-01-25 08:45:00+00:00,2026-01-25 14:45:00+00:00,long_spread,-2.8352,0.0804,24,228.08,128.08,mean-reversion
2026-01-27 16:15:00+00:00,2026-01-28 08:45:00+00:00,long_spread,-3.9586,-0.1788,66,100.03,0.03,mean-reversion
2026-01-28 18:00:00+00:00,2026-01-29 00:00:00+00:00,short_spread,1.4975,-0.5078,24,284.51,184.51,mean-reversion
2026-01-29 16:30:00+00:00,2026-01-30 13:45:00+00:00,long_spread,-2.5949,0.0852,85,-143.55,-243.55,mean-reversion
2026-01-30 19:00:00+00:00,2026-01-31 19:30:00+00:00,short_spread,3.3438,0.0226,98,-640.01,-740.01,mean-reversion
2026-02-01 16:00:00+00:00,2026-02-02 13:45:00+00:00,short_spread,3.093,0.3141,87,-133.23,-233.23,mean-reversion
2026-02-03 20:45:00+00:00,2026-02-04 12:30:00+00:00,long_spread,-3.2285,0.4057,63,788.46,688.46,mean-reversion
2026-02-09 18:45:00+00:00,2026-02-10 04:30:00+00:00,long_spread,-2.9779,0.0567,39,638.75,538.75,mean-reversion
2026-02-14 12:00:00+00:00,2026-02-14 23:30:00+00:00,short_spread,3.0717,-0.1788,46,373.28,273.28,mean-reversion
2026-02-15 04:30:00+00:00,2026-02-16 07:30:00+00:00,short_spread,2.4943,0.079,108,-702.8,-802.8,mean-reversion
2026-02-17 14:45:00+00:00,2026-02-18 12:15:00+00:00,long_spread,-3.0141,0.3785,86,-76.34,-176.34,mean-reversion
2026-02-19 15:15:00+00:00,2026-02-20 13:45:00+00:00,short_spread,2.3142,-0.2244,90,-330.59,-430.59,mean-reversion
2026-02-23 01:00:00+00:00,2026-02-23 07:00:00+00:00,long_spread,-5.3411,0.0375,24,373.4,273.4,mean-reversion
