strategy,config,fold,sharpe,sortino,calmar,total_net_$,total_gross_$,total_cost_$,max_drawdown_$,n_trades,win_rate,beta_used
breakout,baseline,Fold 1 (Dec 2025),7.5638,6.0361,3.9274,17278.62,18394.66,1116.04,-4399.52,20,0.7,
breakout,sha_winner,Fold 1 (Dec 2025),5.5662,5.0717,1.923,14797.27,15913.8,1116.52,-7694.91,20,0.55,
pairs,baseline,Fold 1 (Dec 2025),3.032,2.1583,0.9764,1621.94,2304.83,682.89,-1661.14,12,0.75,0.6166
pairs,sha_winner,Fold 1 (Dec 2025),-1.508,-1.1234,-0.3978,-950.17,-260.96,689.2,-2388.8,12,0.5,0.6166
breakout,baseline,Fold 2 (Jan 2026),1.8148,0.9836,0.5797,3178.1,3876.24,698.14,-5482.53,13,0.6154,
breakout,sha_winner,Fold 2 (Jan 2026),0.8511,0.5488,0.1834,1966.26,2956.13,989.87,-10722.3,18,0.6667,
pairs,baseline,Fold 2 (Jan 2026),1.1667,0.8393,0.3921,702.73,1624.34,921.61,-1792.07,16,0.625,0.678
pairs,sha_winner,Fold 2 (Jan 2026),0.485,0.3194,0.1688,232.12,1103.4,871.28,-1374.8,15,0.6,0.678
breakout,baseline,Fold 3 (Feb 2026),1.7962,1.3881,0.4327,6937.64,7949.32,1011.67,-16031.55,24,0.5833,
breakout,sha_winner,Fold 3 (Feb 2026),-0.9691,-0.8706,-0.2114,-3953.83,-3024.4,929.44,-18706.62,22,0.5909,
pairs,baseline,Fold 3 (Feb 2026),0.455,0.2739,0.1344,270.27,585.51,315.25,-2010.17,7,0.4286,0.6879
pairs,sha_winner,Fold 3 (Feb 2026),-1.4968,-0.7893,-0.2845,-589.97,-329.33,260.65,-2073.67,6,0.5,0.6879
